,Job_Name,Link,Job_Location,Mathematics,Statistics,Linear Algebra,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,Object-oriented programming,SQL/databases,NoSQL,SPSS,Stata,Access,Data Mining/Analytics,Visualisation,Tableau,Power BI,Matplot,Machine Learning,KNN,SVM,K-means,Multivariate Analysis,Regression,Classification,NLP,Deep Learning,Time-series,Simulation,Big Data,AWS Cloud,Google Cloud,Databricks,Azure,IBM Cloud,API,Operations research,DevOps,Git,SDLC,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,Decision Making,Consulting
0,Scientifique des donn??es g??n??raliste / Data Scientist Generalist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0D4txbjH7ro9xYYrOeCAZxmIEAGZhBq5gXmyVMSZSr-Y-uHReKII_9YbpCP9IYRrOJzJg2RpsHIS4N035vvNzG6zZdGqtnzyFqXJTFZ2IRRKjKCFdn147ynsZUT8Pvq7oJ2EMP8gCZu1Hq_QRRlmDMxa2yabfj54cjUChYkg7g-IAfeUwc8b--55hwJT7WBh06twMGdmSUip31Uu9wAQ9dnhjhhSf0U0NGcK_nhorc8BWoFvbiDsfLvMRS-3ATK28hjjNYemAtq8F8zRJvum4IVCEfQl11fND76bbKoygCV096ohpQTPqhHVdpVXPC3sdRoY6UjIcGYMumwSqQ3M6ClXZIEs8lBcGm2-6GawRa_qjzD7mTYMMW3ReMCNT2sP4JTTTs6nbmpix35HEpZpqQW9jWQLjDZe4QRtnBCyyzAHClHfCKydKygCKWoZ_iYcSn_W-WrTruHTw5mUiCvI3i6wU4cvDZhe24pS8X7tbUOkNLV0SVarwkdziP3ytdW-eIWNanY9gGpZYwEshxfMU3P7p2x--ckZmaBobooj4_R2A==&p=0&fvj=1&vjs=3,Montreal,,,,,,,,,,1,,,1,1,,,,1,,1,1,,1,,1,,,,,,1,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,
1,Data Scientist - Price Point - Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVCuhUhnYmjGeEdm7m5_x3C66s6_GWlkF4sDY6E3Wzq9dIaI3-D43z1A3dJbiYB0SH5A18yiDJi3D9iSuEV8CnUzWg7tCKqTjCkZrTs72rYfGzJv5PckSz7ei6hhi3Qo4QWMkMOzyQUEaJZ3uJ2eFRgGAjdYYF4fxQx2biUB91BYHvS9WxkyKL6t5uG2tuGifzmhaYNGbPc_1mMXzRsBUZsZsckufa961eSTj-GNP3M73bV_bowItQL6fggaDGfp4ouYwzibeyL3ZShZmTtphkUCneNIyTC9jPyLHjZw8aKQHCcgyv6hVbGM266_R2WMa-at-p55dwPEuq3jI97VzNiQJs7bCA2iO4UcbNLkPmfUMNN6SgqWDI_fgDETq8Ljyc-UcOjQCGz9HUs2pOlQ0UZnNk7tFG7M0SbtrNhmcLzF_9FsNI-j9HIOTEYU_NR7uqjyq5Qt2cZYPQXrqJe_6Y_FS_MVNMORb0JXxuKHLiTt6saYrpQW8sk-M-oEPF1fwiQ==&p=1&fvj=0&vjs=3,Montreal,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,ML Product Owner / Data Analyst,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CDcu8ogXRoN9QHj5cFxdvYgI3vgl5QADb-mUQIfZmECfZyGJmSVfJ_x7olgg9Kxhjgvq4gsEHjcz3vQnIGORuPdq4WxW1H4FQqGsrPGreQx9fsDYP90n9Ra0soHOAju5OV3BAA5AKj6nSG03ySlB0Sa04OxNfqJYVCP_C3TPB0tvB_RL2MQiojGZf4Hg9qGxIw91aApEKTrunGxhKv06JqUR9P0Ote7Tqd4TU4VsF_VQKyICoPTzYx9_X9LNbUXmSvTLml1_dQt7C1af2LDl2wyVRHHkxly_BKzwGFFIvyw3On4SjDV-Laob1HoPOoKIjHffawWiUKlNbfJqNYmPqF0Trc86Q7cC_4mEIN3WB7z6qVKkLOv8CSXxKSILU9F35RpZr8vZu69W2m_Mw7VTND20bKmK0-KJM9potZ5Ul7ZnoXBIShnjdMgCsFckOD1drrz3m_m2Mss3f3liWlAzoU&p=2&fvj=1&vjs=3,Montreal,1,,,1,,1,,,,1,,,1,,,,,1,1,1,,,1,,,,,,,,1,,,1,,1,,,,,1,1,1,1,1,1,,,,,,1,1,1,,
3,data scientist,https://www.indeed.ca/rc/clk?jk=f8616c72d121d97c&fccid=ac1fd6324894c165&vjs=3,Montreal,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
4,Data Scientist Internship - Summer 2020,https://www.indeed.ca/company/Camfil-Farr-Power-Systems/jobs/Data-Scientist-Internship-94ec63e11eccb404?fccid=0be184394e28fa88&vjs=3,Montreal,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
5,Data Scientist,https://www.indeed.ca/company/MSi-Corp/jobs/Data-Scientist-1e859c098cfe417d?fccid=183e06e7def5a52c&vjs=3,Montreal,,,,,,,,,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,
6,Data Scientist,https://www.indeed.ca/company/Dataperformers-Company-Inc./jobs/Data-Scientist-0e906a54e1d0ba24?fccid=35af82949c76f1d9&vjs=3,Montreal,1,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,
7,Data Scientist Developer Intern - Summer Term,https://www.indeed.ca/rc/clk?jk=d18afb58a94fe3a7&fccid=f4192e011d4633ca&vjs=3,Montreal,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,Data Engineer or Scientist,https://www.indeed.ca/rc/clk?jk=f82af96bf6ef874a&fccid=b3f8eab3b50969f8&vjs=3,Montreal,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,1,1,,1,,,,1,,,,1,,,,,,1,,,,
9,Intern - Data Scientist,https://www.indeed.ca/rc/clk?jk=40cd39da116f1e38&fccid=156c7820d1988640&vjs=3,Montreal,1,1,1,1,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,1,1,1,,1,,1,,1,1,,,1,1,,,,,,1,,,
