,Job_Name,Link,Job_Location,Mathematics,Statistics,Linear Algebra,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,Object-oriented programming,SQL/databases,NoSQL,SPSS,Stata,Access,Data Mining/Analytics,Visualisation,Tableau,Power BI,Matplot,Machine Learning,KNN,SVM,K-means,Multivariate Analysis,Regression,Classification,NLP,Deep Learning,Time-series,Simulation,Big Data,AWS Cloud,Google Cloud,Databricks,Azure,IBM Cloud,API,Operations research,DevOps,Git,SDLC,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,Decision Making,Consulting
0,"Data Scientist, Financial Crimes and Cybersecurity, Senior Associate",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CFuo8Y6gfchSUHQ1--N7NldjQkI7yBNtHdUdaTqsTp_wgBx-mCezkojpE1FqImCDcdMpTknceFKa1yqHEfg7eAzIRiEPi0KnsHBrUZqxbRZ7zRnwJLbU1gJumxWF0-bCwuOKher6Wuzrh9SqRxKGwEK4lbWtiFYzeY88HFe8yONouPSY5xDHih5912rhtW7APZnFyfs_000LdQhUl5A0sZhpY9T_hqgfmvZHdtsuSFCFh6MstcMelj5dnEiM9wqeEaOWEMZfhi_9BDJrc1mNJ3HQ1dz7zmjGcFyk5kQWc7V-y_YPCzE_PqGKkZvkBdrh1R3QUhlqQCUxVzZruMH8BN6mADRJZ3xC1EVykEqibalEHitP0yWr6o5tLlxyRIkIn4s07NCIjKflfAxJU67LmKDT2bBZd5wEfsrEfTga24Rx0ceGXcftkkJ9N_1xrphAqXcF9bI89LNOUV6FE9Pwx-DfwhYNv6BFQEM3dm6axdUCESD_tpjY28N4-_eVDURAM_VTvR220W0nbq8lWg9Q6Icr9iUejpwN8l5eNB9PY2kCGHymrIpx8ELfVFich95tAT5Sq38Z1V1tp6aHB_QRabBbMfRYbzjIW7dFfY72DAjWy0YD2Tmaq8&p=0&fvj=0&vjs=3,Toronto,,,,1,1,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,1,,1
1,Big Data Operations Specialist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIDsHBe4z3rcFtA5i1J5G4FbQMDoOPjw874oHHM5HAs3M9-kNVuGFDx-C2Qyis7Vbs-NfuFaJ6u0bZw_pp4CQuhtRoP4pIOFV-o2m0aYY1M3HjZxS2x1ApS84BOMc3lO5BU3-WSJv0elwmXRJ7xlWKOIqf27wfbZzlcUHy7CyxIs7EeNoqfXrLp-LJyO6FNQRTIVOyiYVMc4GJ3FKONfNcPCQ28FHgeJVWkbzY0ooTVoxjP9v15DxrjMB0E3UWHHuilKS9Rj4atsR7ruuxw01y6HVl9HUdg-PGBqVFhSdrBzJtOx2KRENXst7ZCyblO7lVZWwsjJzftuGwaUASe5a2VibqUEPKUCmn3uSkisdq8_EQ7JWFR8-gFP2GC2nJ0QVpujGjim--QJhrhs03RTF7bkp-OctCdWU8bTkURocSkozvzE0y8BhSTNwZ7YdSBh_WKKAhRO-zKQML8GYD4EjJhZEVZDDumgc5-_vBwGsj1zz5qrz0gHaN5DoCVRdTxNvSA=&p=1&fvj=0&vjs=3,Toronto,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,1,,
2,"Research Scientist, Data Visualization",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0B2LP6KtwgLMWcIJbzQK4y118hUYa2NHT0ELzb4aR6nDrO9_32R0LtayZZ0AmDL_HQ-AVF1v6VCTyAsEhFKFKZjRIJQ8LAr1n6SBrt5bELznBuuuH8HsdZ120Li0VZDgl25tgptuuonl_v3kKYqk4X_rC9avdBEV45N6PpqahSY2M0aEZNYqobFLhEkPbcB4-zXciRWQmCwpKGXIsNSKPhTjNsr2j3eP3lg2crSEyoihL5DE8BI8zoHknh5NzPc8eJb8K8j6KHlnCEkeTAnZc9X7WN8dbHYKSOHJrfswtUUtipM2ChW3vmPgL75q18CrbOCT3i5vfbTsEhoSzNapNdhJ5efYmn9sBiwsBasXUJdrSxtiSRXabYROZ0IxnIIRH8QhDYCUjBNtXnTnq86vMCX2TFmOv4Mhp0T3sDFVpI_EA==&p=2&fvj=0&vjs=3,Toronto,1,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
3,Sr. Data Scientist - Application,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AbcLYJH6EEU2hhfUhIe4V-wtZUPXOEfJh72XLwlGjJwXW5GoFa_FpE65OpWPukPdLKi2V5qzL6US9m9q6yJa59jJLt4-KraPsEeUNBepfi8JVt6oXx6r-1-Jtc8ABAFqohLli-zddMcpqdjksbFYufEDryffnwAroYC71m1pzIGSHS2raYmVp7hsx909K8gUz1LcZP5y9zDskCLK2GFXqk3a8shdDieb-PXjZV7HMokek3vuFlQCUc7Ybj_D6j1x8600hoNejQyjaC2H-s86I7NTCDgsH55Yh7W3LtubeP1qaAcYJ1-_XbWZBf2BmAtHEc-Tg8uTMSpUU9q8WV0VM11QbjyL0yQCZ4ebyE4IkNVj1dS3b6y5APxR0KM7sbn_BFLVHQq2c6eYkQwCD_Mm0DIJnkCApJPnzpKyJzxkE2dw==&p=3&fvj=0&vjs=3,Toronto,1,1,,1,,,,,,1,,,,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,1,1,,,1
4,Data Scientist - Price Point ?€? Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwEbuMzLtEEqojXw8MTqppmsWhAxUTuHqZp7L4b-8YWcfrNqv2v0lJLCMnrO3Ky4bckrhK_1mnShiQfD-Yh2_6bayWKqQMeP9xtxRAxp3ip9ON5Llgi9Amx-3QcZmRapcrvZCLJP8oVIvhnRtJcGCAxGEeCx2Xx_0E7_o_ngM-2PCJy8qmQFVv_FQ5q-KkzhAE5aGdq30NDUopr6PdaRSDyk8TfhipTWEbpZBNJinf1Edu60VmwTiFoU3wJpWhdR_2grIXzUvG-TpLEJmBXm4yTDxczrjJ2ckdgIGkzUQStA4meL4JSVtWN_sU5Uh-cZLwCRXlrxwnns3hY7vt9cP9U2Cs_d0cBZBZy4cSvWZCbENTNOsdfUAScoTaY27WbaX-NtvS9j8OlUJiRV9MJStyEg_cL79Fq3OLdA==&p=4&fvj=0&vjs=3,Toronto,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AXBtxsLe9m2KRj_jCBdk184ANefrLFEPSzBzUevTHxVwzdFFWiCuUFfaZuy5dwRaMj5mCL0UEU0zImT-niN5AwOtL7_oWvk0ODx5hsNu4bQngYuf22su9ZAmnXrFu6_RTciQEPhjyJuMTyRq5voyJQoLFiGOz0vYxEgL2oQm_XVq0JoSuVzvRspJGpgMJW7_GpJjSPAkU1NwGUXHPHapnAfd1vbMFzxLWQLVMJS8lm9PuoFGxIdJ4MYIUQbk_uc5A2Ev7O6nc_Y8TXUrBXIu77gFaZ6TNmaVFexxY_FYm1FsTs_Kx8i1dOg5UD9kIxBbKwrANtvMNm2ULsLAPTB0rNiX_YpAFaFS_dgxSn0rLJTRyCxOoBpJiJ1NE4nhXFbyUC8CwbDc8xA-OtvpX1pDAnN4FSnV9Gjv3l450qOsb22PGr_U7p1WJwJmn6Xwf1CKHmS0J5DLS8U701nKuFhy5Iv7VwfclxDw4=&p=5&fvj=1&vjs=3,Toronto,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,1,,,,
6,Python Data Scientist - Research and Engineering,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BFUzwZI7hB6sL3-1CSRuneG5TadXY2WMHKQsf1P6r6k45m7TN6EVbfDXe_axt3BS7b6n5egkEfAym44vnFG7hMQfQR9CMQJY7kizhXvr3KH6LDtowaKUEt7PpbGXqDrHT7Jth6vyLAa51j_VZf5cBffg5pBda816ZUiy6m73uaszGk27W48vYtmgvpZNU9zAOsNV6awEO-coqkvFqpAiGieQY03In--dYbZ059z_ob-WYHd8lrdflyY3KAMivtZo1KkuDqKs4s3ljI-a0LHKJ6Pur4_HGaHTCUIE8xDKp6XuTpkMmOR_RpCQctDLpVu65IrV3MXRyffcy4GaqQUMJCIsA23QLz0MYTkq1HoS9wKmeW8ikW4j8HgwIWjrPH-PENIimM5B16JkFcwdg6ZoF6J7dSPS9FYACQVc5m9p_hBw7XekNLFOb72xesywE2pwXSK15noP1tIabiRhztiT0rZo4VL4Weobnuioath_ilDQ==&p=6&fvj=1&vjs=3,Toronto,1,1,,1,,,,,,,,,1,1,,,,1,1,,,1,1,,,,,,1,1,1,,,1,,,,,,1,,,,,,,,,,,,,1,1,,
7,Data Scientist,https://www.indeed.ca/rc/clk?jk=b4f1b63a4398c616&fccid=6c8a92081151019c&vjs=3,Toronto,,,,1,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Statistical Analyst,https://www.indeed.ca/rc/clk?jk=19445183b7e9dc3a&fccid=27e2c072380e79ba&vjs=3,Toronto,1,1,,,,,,,,1,,,1,,,,1,1,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
9,Data Scientist,https://www.indeed.ca/rc/clk?jk=6c7c04b422ffeb72&fccid=734c0fa2088c6315&vjs=3,Toronto,1,1,,1,1,,,,,,,,1,,1,,,,1,,1,,1,,,,,,,,1,,,1,,,,,,,,,1,,,1,,,,,1,1,,1,,
