,Job_Name,Link,Job_Location,Mathematics,Statistics,Linear Algebra,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,Object-oriented programming,SQL/databases,NoSQL,SPSS,Stata,Access,Data Mining/Analytics,Visualisation,Tableau,Power BI,Matplot,Machine Learning,KNN,SVM,K-means,Multivariate Analysis,Regression,Classification,NLP,Deep Learning,Time-series,Simulation,Big Data,AWS Cloud,Google Cloud,Databricks,Azure,IBM Cloud,API,Operations research,DevOps,Git,SDLC,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,Decision Making,Consulting
0,Data Scientist - Price Point ?€? Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVIbTLeSDpYan5EjveM5VSQwxb-wIO8ETF4oPSskyJ3pEfTv-zY2o0QbQu5_0OiN2yCjGhN3QnRe8qiMdVFW4YY4g9mCzo-k9nXgXPtIli-u4j3Pr9Br3EZ_9Yf2__PwewqtSLTzi0STxQf2-3AxizVKVRUVxhP_JlGIJmXvfxCv-j_0xpRB1ivQ3m4k0Kxm5oLEA7SXvG47Np6zed1OiBjdY4QhpwLqdVSx97kCx3grH3nFNgPXRL6_xBfHXTY1dIjCUaXTLizoHtxxvTzgiirFWBdyxIz_Mmf2JXpPzrST2thQXB7hpmbCziFGt3VOBo0VwaRHS_ejpCaol2YA2LkQs02Y9g3rWJ5Akc2FmrxktC86Zeu70ILHeZ2wlhrCztQyXZoXNpQ1Ro3YbzAb9IVMXJqN8QdMu55i97rkMhgzPoD-HSm0lShcT0WANouhnifLQ2OB5VbViC2KiJCV-n779y9U7c00z_fS_Hgru8PEebYo4enQZffxMM7UnTPengoVtI8aFTcoF&p=0&fvj=0&vjs=3,Vancouver,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AxBcP6HhQEU3zmHoNFqyX3B9I-4Be35b4HknnWHPZOgeuwSghkS3NkeR7ZiZXPX-f-aI9oGN5K_2g6eOEzQa1r1W3NCqkbdb-D2VldDgGH4NAMzWSjaMWbc9_Bf0XdlcVZE2L3jReRcm_TB4rJfeYJMAbDW6oyAfWG9ixNBwfFiR01ocGtUkg5E_orsl2dmh0FK3p8zpj3tp-J8rZK3NHPoSd8xWyJJG6h8XVaegiy-q9NMupigK5AF9KqiUJpSXZSFK2V_tzu0YB321kcikY3G4pSYqNtDkFedFwemn_LBBxvuoIYkX8jVWfM8vhGnCL0RdMMQoaxwLDvVdBJwZLanYIN4miyh9JLJXQPlovmE5jB6Kta5mTCkarhm3GLn4hOPxVJQqtiLcr6PB2yGG25HsQM7JYh9KUmYIsNL478L3wmXlxBSkp4NbXxyriO23Vio3Bc9SW7UqHPnzmzSG7S&p=1&fvj=0&vjs=3,Vancouver,1,1,,1,1,,,,1,1,,,,,,,,1,1,,,,1,,,,,1,,,1,1,,,1,,,,,,,,,,1,1,,,,,,1,,,,1
2,Business Intelligence Analyst,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0A9XVhyRKNL2TX6EPOBOteYJsujN_zCQhW7yXpv3_Vta_zt9SQHdCgJ_GxGlUUf1HiwswchMd0Wn8Vdxx-UP4pa7qsBsT6xY_SzAB4PpeBVECaswBgYxeHn7_XA91Fghlpke0d9tdOvzdXT6u37xXYPL7YPUkJOaOb4eZnmPk1xknYDGfXbMiq_Y_hXduGPC2TYSECjE4oJkn5nQH86QALUxbaFU9cPQDPUU8t2EBRmT2-Ca32FnQukYGd4DkT7A9O46w3Gb6K5GdVx0EIYjA3gAB06Q3ePWYA6QAiACuwGbsRmLUC4TVCfPvwNURitlbt0tF6WbosL_UcKVXowX-ChNrasI0fZGI86IF2O2ji4fKaEHn4Xhfw-AUVC7YJa_c5PuGyKEZEQngc41mNpPo7-YKlJS1uRDI7RLqywLBv9QhVl5bDqS0xFjyfI-8MeBhFVDnMpQkV6pA6QClg8vjU_TiVNglMC3LhMQDSzWzOPgIxQShp6gJOEHYvWGOYZTYLoG9acN2kIUw==&p=2&fvj=0&vjs=3,Vancouver,,1,,1,1,,,,,1,,,1,,,,1,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,1,,,,1,,,1,
3,"Manager of Data Science, RACE21 - Vancouver",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0COgb4V2UjYp9qNsKIGOmvHVcG-yHWz9LDaJaVNeOircGVmevR22BHAEkSB5zKUi-irKhEHlKXDlbF7lftbogRKpBoop5J137A6e6PFWQjD55YbGNoQEyva4xbvNixJKGUuu4V8SVevVCAOnZCw-1BBn28P2BR7otYT2L8JgXSyyTv2lQQqr88hrQG825L4B614n7WmM0Ts51jTjIkDkaqQ5_8jCPW05RZOZwD8ZCgYseCPeim4mcBe0pUI9TSVRaIKmxth11Zyv5LBcb_2W1B-_fjpBpO8xpMNBqWgsGUV-2fr-Rnirf5589Yb7N5NIPFPeBGITP8Rugo9xF6qStO4nH4pk16jgQd5qeBKZ5hEGkxZe4TzDi56liGKzZ54OnJxInMD04JcF4VImw-zJGGH9RJt38_m8EBwYOEkbXfsXIjlK93s3OjrWVrHpBXON3LSVTYvXZM6bU4AYzD221NDroPNbKLafvFmsb8v6Lk2D7uRmH1vLO_vBs6TO6jWExqt-04-3OOvzNmmxZr4wleNPX8DgdOoSN9bCqU64KUmZFWLRObDlHpUq4iFUwLq0S6rlPE4HjlsfDtcQJz_UzJxVkU3ekvMJmvtgMj24W2Y0HjxwadqnQ9fSn-Ed-Rqt5rcbkwqqfgKTX7Mf7XM14MhoXzRARWTDh8=&p=3&fvj=1&vjs=3,Vancouver,1,1,,,,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,1,,1,,,,,,,1,1,1,1,,,,,,1,1,1,,
4,"Summer Camp Instructors - Film, Robotics, Java, AI & Data Science, + More!",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CNcpJbx75BWsvBL9R7x7Y_VD3CTIput4kyPakBFyE1nhmQ6JjQgOugrn4IvQWSn84olPPBUEy4G42xqj4Yz8F5pNfbZ5wBVPNVNzc40w8TYsD9TJx7I5bZOkb6nEqPjiiQlytIiKtFBRjgC0cJ10LEQ1GjzIcUH-dCXnFtF1p6RynURo5TUwswTjt5IF3B6L_76vTIM82E1_p2_rWChQpT7OmRE-L8nGB644F7Pz0ktggkLFDhu4aahfNgaLkMRaHcCCVRcgicK8cKOeODqHsOw65DreC6sSjufEmXiaDUvbrYEDvzKdSM06WwWf0_ojrUPg6ZLdE7zt047qSkJNP4iEjaf7G114Rs28QwzF0Kq4b2fvt_G_I6600BCD8RGP3koPinwaJ4VbEmDJ1cQ11-SjaF_TwFEMOq_WaW1ZfTrCC8u7PUFpmyz2PI7S7DnbvRsgx23Sx6ld__q_lzxsJjV2UHTept85SyY0s1lsLxwGzJOAYTDKsZAe4WW7NJqEqp7tNEMSt8WQ==&p=4&fvj=1&vjs=3,Vancouver,,,,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,
5,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AbcLYJH6EEU2hhfUhIe4V-wtZUPXOEfJh72XLwlGjJwXW5GoFa_FpE5T_tYPp8kQ7XdGi53E9kuRHlvWyVxJs7IHFa9CbcbNEaFpC5Jr-szMySZflEEKoLreGUdNZrrTp7w3AkCviqTM5FVG9uTkQA_tSm2YX1zKEnVcKUwD-eJGkcwLrOhKdyfYXFTqdm38bOn4U2i4NW5mN6PTqE_ACwL192IXDFfrUBD_0oa2AqqGRuGB86i_oStWtt2AfNsHSX4FTeNeye4826i3bXZDrmwJjTRygcnwcdzqH2tZ4E3lMhz0Lk-KwUCyhQ7AP2eMwdavQuVjKjj8Y5G8YmYBObC7bAuaeJOPUN1MunagbOyK2w_8NOBLbaMmJs2HKUgfns9IDZgm2zR7KaN6pVfrdywCrAoycmLpBUVczAE_cGig-5VWxNNlSj&p=5&fvj=0&vjs=3,Vancouver,1,1,,1,,,1,,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,1,1,1,1,,,,,1,1,,,
6,Associate Data Scientist,https://www.indeed.ca/company/TrainTurf-Academic-Solutions-Limited/jobs/Associate-Data-Scientist-00381d776459e0a4?fccid=614cb4a692adf0cc&vjs=3,Vancouver,,1,,1,1,,,1,,1,,,1,,,,,1,,,,,1,,,,,1,1,,1,,1,1,,,,,,,,,1,,1,1,1,,,,,,,1,,
7,Data Scientist,https://www.indeed.ca/rc/clk?jk=e839795041f7a72b&fccid=bcfb39af889db96e&vjs=3,Vancouver,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,
8,Data Scientist I,https://www.indeed.ca/rc/clk?jk=0482807268e83984&fccid=fe2d21eef233e94a&vjs=3,Vancouver,,1,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Data Scientist Intern,https://www.indeed.ca/rc/clk?jk=d02f9e5a29316877&fccid=027d7cca25a5d14f&vjs=3,Vancouver,1,1,,1,1,,,,,,,,1,,,,,1,1,,,,1,,,,,,,,,,,,1,1,,1,,1,,,1,,1,1,,,,,,1,,1,,
