LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube
"College/University,Conferences,Podcasts,Trade book",,,,,Very useful,,,,,,,,Very useful,,,Somewhat useful,,
Kaggle,,,,,,,Somewhat useful,,,,,,,,,,,
"Arxiv,College/University,Kaggle,Online courses,YouTube Videos",Very useful,,Somewhat useful,,,,Somewhat useful,,,,Very useful,,,,,,,Very useful
"Blogs,College/University,Conferences,Friends network,Official documentation,Online courses,Personal Projects",,Very useful,Very useful,,Very useful,Very useful,,,,Very useful,Very useful,Very useful,,,,,,
"Arxiv,Conferences,Kaggle,Textbook",Very useful,,,,Somewhat useful,,Somewhat useful,,,,,,,,Somewhat useful,,,
"Kaggle,Online courses,Stack Overflow Q&A,Textbook",,,,,,,Very useful,,,,Very useful,,,Very useful,Very useful,,,
"Arxiv,Blogs,Kaggle,Personal Projects,Textbook",Somewhat useful,Somewhat useful,,,,,Somewhat useful,,,,,Somewhat useful,,,Very useful,,,
"College/University,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Very useful,,,,Very useful,,,Very useful,,,,Very useful
"Blogs,Company internal community,Conferences,Friends network,Kaggle,Newsletters,Non-Kaggle online communities,Online courses,YouTube Videos",,Very useful,,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,,Very useful,,,,,,,Very useful
"Arxiv,Blogs,Conferences,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,,,Somewhat useful,,Somewhat useful,,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,,,Somewhat useful
"Kaggle,Online courses",,,,,,,Very useful,,,,Very useful,,,,,,,
"Kaggle,Non-Kaggle online communities,Personal Projects,YouTube Videos",,,,,,,Somewhat useful,,Very useful,,,Very useful,,,,,,Somewhat useful
"College/University,Conferences,Kaggle,Online courses,YouTube Videos",,,Somewhat useful,,Somewhat useful,,Somewhat useful,,,,Very useful,,,,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Blogs,Conferences,Kaggle,Online courses,Trade book",,Very useful,,,Very useful,,Very useful,,,,Very useful,,,,,Very useful,,
