,Job_Name,Link,Machine Learning,Big Data,NLP,Visualisation,Data Mining/Analytics,Deep Learning,Mathematics,Object-oriented programming,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,SQL/databases,NoSQL,SPSS,Stata,AWS Cloud,Google Cloud,Databricks,Azure,IBM,API,Operations research,DevOps,Git,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,SDLC,Decision Making,Consulting
0,"Data Scientist, Financial Crimes and Cybersecurity, Senior Associate",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CFuo8Y6gfchSUHQ1--N7NldjQkI7yBNtHdUdaTqsTp_wgBx-mCezkojpE1FqImCDcdMpTknceFKa1yqHEfg7eAzIRiEPi0KnsHBrUZqxbRZ7zRnwJLbU1gJumxWF0-bCwuOKher6Wuzrh9SqRxKGwEj9kdBxL0AjBgm9112kuyN398pHE5wM46lnYaLUA7QsR7On3PphXpPXAEYvUUYe64ZX1so7cOtaaocuxndfebTmVAYOepkU9WPCmpBHWoH_SOsbiDHVqa5M0hx_fS39izTsU7f96VuGjDD4G9_IcOoQ--JyX5WtRxKPvhBjtrQ2xRf1yKJHeyIJJBLyXlo3kLA04fyyor18rAV7QrL6Eed6Gq6CBOHHHAO40ubHY5NdyU2VHUwWdrCW7hJe-y9nVjvo2HEP1Jy1n1m82Eksfseg9M76I7qrnDqnYNhr2AjkYZrJeEp5laGzGJSFrVkTDZVjqS81KuG8nACRMDtOEjYoT4MGAXatBMp9XSPkaVODl13UrbjHNE5HFlzD-0DYnAWl-6URGiFofgJLAp4wqKNfiKjgDS7LpAMy-Xb6H_oQsf2il1gpKdGDUNwfIVzrGIYU_0W-tpC3e0skfgmlbAo0Bf9ZyVSm9z&p=0&fvj=0&vjs=3,1,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,1,1,1,,,1
1,Big Data Operations Specialist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIDsHBe4z3rcFtA5i1J5G4FbQMDoOPjw874oHHM5HAs3M9-kNVuGFDx-C2Qyis7Vbs-NfuFaJ6u0bZw_pp4CQuhtaewMu6iFdejz-MVUuK-vY9PAF6BUtmsrR2Pde5JIMAvLvNLTYT_-IAUvTPjDKkqea4FXQ_AgKeZrsbvlUIZ12mhMGsrkiBif1EB2brxLs2qSJ404Gjz5T5Cy2H6QQi-MvhaF0noRJMgHyepeyInhvUAx9ueexJkkSkPoMhxYFUvWQqNGTYOcf9MtZzoTMK-cOwpW8kO1h_S63CJRcbMp8Pfwj_8zeV_4kDzNzWmKpL73clYpjt3pFjO1HWlm3UOBXqobZDrkYHFa0E73RrorOKEpPgV9qK3v5WdZaHRWwVMSl6ppe6vYrU5H8BXxQPU-yER-XzWY2qlrakXmVsYFnl-KjBYu8KFBEE0LNGOb4iByS67uavxJDyYrDMO4_8VJD4KPs3sHuS6kA65tO8lUA5xOuXVL7KvFfL74reB6D24=&p=1&fvj=0&vjs=3,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,1,1,,1,,,
2,Sr. Data Scientist - Application,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AbcLYJH6EEU2hhfUhIe4V-wtZUPXOEfJh72XLwlGjJwXW5GoFa_FpE65OpWPukPdLKi2V5qzL6US9m9q6yJa59jJLt4-KraPsEeUNBepfi8JVt6oXx6r-1-Jtc8ABAFqohLli-zddMcpqdjksbFYufEDryffnwAroYC71m1pzIGQVEwB5h0OzySs-ujqGzj6u7SJnFYuYl9h6GnkuRJnSX5iFpqraA0h8DkMbf35mEfJnCYVFJfuEMzDfM7539fsf7S8Qke1pwgVqVDiJsp9GOXwKaRPkLdMjNa5_c7RsnFgRp0ljN2h1CN1ONG7xH6zy8QCMmavmsVzzZMAPb5qnwQRUBNSDzFMzrh7-Cses2zcbQbq4TOYImi_I6T3v8ZFQHe11DgQHQS1Gm5kEoo_9yoLBJqZSkQ813riFOaxmk3g==&p=2&fvj=0&vjs=3,1,,,1,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,1
3,Data Scientist - Price Point – Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwEWBCR9b-cJaqiO9KGBdV9GtrlnEbBDj1GscrkDZ7YYHcZIjqIyR4fD2HUX8088tyoaQ4DPYVW1uF4X3FrF4Dl6lk9QYmy2ns9SkzgaE5gyllwSdIXJR85Pi6JW1rIytQk5N3BOB8seU0YkgwhVIbzLDG11Z0SrwoIebqhuS4Jo4gZb_H4fp4zX-gvJcXx7yS-9111vNaWg6eAXd2huUezh3QQzYcDnwJfVDLz2O1frTWNxHRT1FNAy9azBxsPp0VV02VsOQ4d4XjBMBV46xrMkjy2ntwDF_xzkZTasB-bK32UB9rqx_mkp2Mccxz_iHrZQPqOoU5YLcjoj8_gSfsWsU6v8zm939Xmbsw6U6g-v25aDYWXwxcc0slLxffArOBqo5w5oF2oLnweRQWEkDSMrWyKWMCd8Ud7Q==&p=3&fvj=0&vjs=3,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DznJ5LOB8Sxa7QeEp9Xu-7tmqymb8VetCdACJvEZcmjLc7NxI4nl05s9y4FYYvp4ZyoOtZSbXRe2a3zpGcFuqApy31lt2V0W7jSAKgf8m4RxlrxXtm2Yi7bMznNljQDNFsAXrnOWrm8s-G4yQ2XN3llIVSvPkOSYgtHJvGe8WNtKRBIZbDCl55SXgo9tVjCKpsNZ8suvO-q_gmyuYcI5B-aWNZ1Qwl6tMZRBYbPdGi5SFhWl0U41tBqKuPgMIpklDVA_QB9XeZBce7HElmBXxfGM2v1spi40bDOhGuhTT1mKTM6HRPDDj_VA-sOuEaqfkK8O18B0K-ScrhuUTCxDsci4Wtt8c0aIrAyIt-YVO0FRUP8MA6G3YaFj1Pxsd6w6OoFynpLIn7j7zysL0fqBQAKnNirzTc7YZzyj_vvZmrqQRaaKZclc0uHqtjqB1rlNY=&p=4&fvj=1&vjs=3,1,1,1,1,1,1,,,1,,,,,,1,,1,,,,1,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,
5,Big Data Instructor,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CYMvVl1R3x4HhPmDe20s-Dsm8iEII5uyjFc-sLJEUXzLh2VAYLKF2jRQ5wKCQUQVEJBRfM7UITcbgLYL356kofBJUIJujXzN2DBReUeYkT1QzGkRR1PNVAGuESHqOPpvZdtigSrw45ao3-nzuu-x3yMyS3cTLhaTbB6EkBd7cmBZ5Cy4nNTE67ww8gnsBYpxrVjNw5UnNFNa5drHumIP-9zgIdw4IyEvA7VYaNBo7Ilntm_aRNtNc_IeSzPV7LukorucGgL3DPJzP7igdR7ahq27jUTMETpVyrg74iLSHcN8JOGj4bc5_Sm1Io3Lsnc5cJWpI3QOuRjZTWkOK6czViWdTvQCHgTUNTyqBf98Z9IFcG4qBMjjO3xYohnRPp6jjwu7SrtRYRRK7vbhbhmFvOK7vAT2DVeDjReX95ePXE3IgPwkaf_7fAqbw9lx3BKyQobE0qjyOypQ==&p=5&fvj=1&vjs=3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
6,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AXBtxsLe9m2KRj_jCBdk184ANefrLFEPSzBzUevTHxVwzdFFWiCuUFfaZuy5dwRaMj5mCL0UEU0zImT-niN5AwOtL7_oWvk0ODx5hsNu4bQngYuf22su9ZAmnXrFu6_RTciQEPhjyJuMTyRq5voyJQoLFiGOz0vYxEgL2oQm_XVq0JoSuVzvRsa7dRzwXAlZ4LV_1RlEejl3bJtyqJ7YejeZOucHQbw40r161bWkHqFF19xkiaQdhYffACH6LLPlQ5nB2ky7chazaenA-r-shrWjSMyqljwNeZTouiicSUlnfKjEFcW3Bb6hwvOynEX6dVGUlimdq3dsD6eDKi3IH_lj3hkATBTW820BCDP05zl6Rxvbtn-czvD4N0zniv62jhfSgLdzXO2oR_jzngkOiF5D8pfnAx-bbmi8AyirwmRT-fR9uvow0R5JxR6auG26_Re4Q-f0y-WOpGCUQzDt4bor4Gyp_YXnc=&p=6&fvj=1&vjs=3,,,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,
7,Python Data Scientist - Research and Engineering,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BFUzwZI7hB6sL3-1CSRuneG5TadXY2WMHKQsf1P6r6k45m7TN6EVbfDXe_axt3BS7b6n5egkEfAym44vnFG7hMQfQR9CMQJY7kizhXvr3KH6LDtowaKUEt7PpbGXqDrHT7Jth6vyLAa51j_VZf5cBffg5pBda816ZUiy6m73uas4KwZqQAMlPNpaPToHm554fpeT3YkIPCIu1aK0EqhXk5ZmnpNSDcSRlxu_2uBr0SyI7oUZDZGt8zSdoOeejs2V6m9rZhAZkku2ZigSuyR6qijt2LVHtOc769CPaLtvwi6DFtNiv22GJFlJHFDqhjpif38wv9BzG_n3Bcfr2GHsiIz_AQ5v3qAgD3bCkCbkYtPCu1AbOKS8DUQRlcqV-vJBQjD0ffqXV0yJCd_Hmagb_HsrsNogWneN-bR3Q90GLRdC0lgPFSJnp5hBOE_XhZ9LIm8eEoPkIad2M8FXKw3FkVEpx37BxyZZ7-CYimekaNrg==&p=7&fvj=1&vjs=3,1,1,1,1,1,1,1,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,1,,,
8,Data Scientist,https://www.indeed.ca/company/Next-Pathway/jobs/Data-Scientist-b3d310e6b8d9d64c?fccid=4001b860a9263e7f&vjs=3,1,1,1,1,1,,,,1,,,,,,1,,1,,,,1,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,
9,Data Scientist,https://www.indeed.ca/rc/clk?jk=2412851c4ddafc91&fccid=935bdcc8ea6ea513&vjs=3,1,1,,,1,,1,,1,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,1,1,1,,,1
